"Model","Year","ssp126","ssp245","ssp585"
"EC-Earth3",2056,263.1408,689.1702,859.4068
"EC-Earth3",2057,251.5887,552.7096,562.0726
"EC-Earth3",2058,644.9809,493.9749,589.3308
"EC-Earth3",2059,684.4769,802.5561,991.7302
"EC-Earth3",2060,373.7415,692.5038,945.2702
"EC-Earth3",2061,79.7042,528.6839,827.3636
"EC-Earth3",2062,177.6389,492.8763,939.2494
"EC-Earth3",2063,131.0226,647.5644,1128.6895
"EC-Earth3",2064,384.8633,302.9626,996.3687
"EC-Earth3",2065,289.9537,434.7532,877.321
"EC-Earth3",2066,447.3519,423.5054,1161.3006
"EC-Earth3",2067,583.4381,482.6892,1337.214
"EC-Earth3",2068,363.7209,544.857,1097.9494
"EC-Earth3",2069,590.4858,822.4737,866.9787
"EC-Earth3",2070,403.5145,861.5576,1005.1442
"EC-Earth3",2071,304.0562,491.028,1109.6365
"EC-Earth3",2072,356.126,432.1581,1112.6766
"EC-Earth3",2073,625.3805,787.5543,1142.8485
"EC-Earth3",2074,672.5906,332.2133,1220.487
"EC-Earth3",2075,524.7017,261.8312,1220.487
"EC-Earth3",2076,436.4917,510.2182,1223.8308
"EC-Earth3",2077,171.9485,547.5557,1220.487
"EC-Earth3",2078,217.0646,531.2419,1220.487
"EC-Earth3",2079,145.2032,793.4501,1220.487
"EC-Earth3",2080,268.2601,814.0312,1223.8308
"EC-Earth3",2081,474.8542,864.9834,1220.487
"EC-Earth3",2082,628.8375,901.0755,1220.487
"EC-Earth3",2083,638.997,673.6482,1220.487
"EC-Earth3",2084,479.6737,1048.2606,1249.6635
"EC-Earth3",2085,320.8024,897.67,1359.6235
"EC-Earth3",2086,339.8942,721.6462,1509.0925
"EC-Earth3",2087,393.5191,587.65,1509.0925
"EC-Earth3",2088,405.3207,621.6418,1513.227
"EC-Earth3",2089,380.4281,819.9913,1509.0925
"EC-Earth3",2090,552.1807,732.1734,1509.0925
"EC-Earth3",2091,477.7822,698.9524,1509.0925
"EC-Earth3",2092,573.238,883.7238,1513.227
"EC-Earth3",2093,258.4257,942.5482,1509.0925
"EC-Earth3",2094,297.9847,815.3138,1509.0925
"EC-Earth3",2095,551.814,979.0746,1509.0925
"EC-Earth3",2096,391.4975,1050.2293,1311.5786
"EC-Earth3",2097,257.0338,800.8658,1583.5525
"EC-Earth3",2098,217.7015,557.5404,1583.5525
"EC-Earth3",2099,715.5478,903.0632,1583.5525
"EC-Earth3",2100,291.4352,991.2396,1583.5525
"MIROC6",2020,112.8443,0,21.7032
"MIROC6",2021,170.8332,84.6313,7.3212
"MIROC6",2022,98.0616,258.025,0
"MIROC6",2023,233.9293,54.8822,196.1154
"MIROC6",2024,54.1509,0,370.0238
"MIROC6",2025,4.5615,24.3635,440.8208
"MIROC6",2026,8.2446,134.475,248.815
"MIROC6",2028,119.3874,411.4429,75.3514
"MIROC6",2029,430.615,439.1124,485.8556
"MIROC6",2030,379.7813,250.1395,57.4871
"MIROC6",2031,225.7281,336.0328,21.1876
"MIROC6",2032,122.5206,444.9066,0
"MIROC6",2034,191.8686,592.3305,0
"MIROC6",2035,172.6459,53.6215,201.2686
"MIROC6",2036,186.1726,245.1398,295.4182
"MIROC6",2037,40.71,185.3706,236.4043
"MIROC6",2038,48.6065,419.6256,29.043
"MIROC6",2039,92.7439,418.2906,14.551
"MIROC6",2040,151.5457,176.6752,298.8544
"MIROC6",2041,175.022,287.9406,326.0626
"MIROC6",2042,135.4991,568.4511,26.0782
"MIROC6",2043,134.5906,560.0871,209.9616
"MIROC6",2044,295.1365,456.4366,263.2319
"MIROC6",2045,231.2916,44.7636,438.039
"MIROC6",2046,411.2024,85.0359,276.749
"MIROC6",2047,623.0868,320.4954,340.8644
"MIROC6",2048,278.9726,657.229,389.9496
"MIROC6",2049,25.2016,401.0963,488.4134
"MIROC6",2050,422.9245,201.4466,390.3379
"MIROC6",2051,379.4552,134.3434,651.089
"MIROC6",2053,287.2275,443.9709,493.704
"MIROC6",2054,14.062,407.9077,628.4904
"MIROC6",2055,311.9462,116.0456,709.56
"MIROC6",2056,200.9733,717.4932,711.504
"MIROC6",2057,462.3376,508.0239,677.7106
"MIROC6",2058,561.38,381.8097,448.0541
"MIROC6",2059,193.4695,547.8343,422.7986
"MIROC6",2060,820.3414,474.3682,757.6182
"MIROC6",2061,810.3708,663.7583,847.53
"MIROC6",2062,298.7705,290.9415,562.7951
"MIROC6",2063,326.7945,61.011,707.203
"MIROC6",2064,29.0316,740.502,817.9032
"MIROC6",2065,307.8636,612.2729,875.9559
"MIROC6",2066,669.0256,623.434,597.9979
"MIROC6",2067,634.363,195.9326,608.3616
"MIROC6",2068,264.6659,767.157,759.194
"MIROC6",2069,136.076,728.7332,694.2448
"MIROC6",2070,251.0366,176.7335,583.5404
"MIROC6",2071,248.3624,329.892,461.2919
"MIROC6",2072,340.5791,456.4193,309.6719
"MIROC6",2073,337.9514,423.7068,825.6655
"MIROC6",2074,252.8127,403.9897,812.1108
"MIROC6",2075,83.0652,222.5508,666.5013
"MIROC6",2076,195.0362,378.1586,612.0086
"MIROC6",2077,465.0929,883.4841,781.6386
"MIROC6",2078,522.7137,772.8024,950.0897
"MIROC6",2079,132.1184,429.4926,1077.772
"MIROC6",2080,345.0084,671.4316,1080.7248
"MIROC6",2081,325.9245,658.7922,1077.772
"MIROC6",2082,451.5468,658.0248,1077.772
"MIROC6",2083,538.7204,598.4879,729.8055
"MIROC6",2084,258.1598,345.5876,813.0584
"MIROC6",2085,613.3601,126.1027,1183.184
"MIROC6",2086,422.071,691.8306,1183.184
"MIROC6",2087,541.654,528.6317,1183.184
"MIROC6",2088,154.3811,615.7732,1186.4256
"MIROC6",2089,269.3607,444.2838,1183.184
"MIROC6",2090,302.8019,716.3201,1183.184
"MIROC6",2091,379.4264,589.9544,1183.184
"MIROC6",2092,73.8795,650.2831,1186.4256
"MIROC6",2093,529.9564,874.2845,1183.184
"MIROC6",2094,65.9274,760.3285,1183.184
"MIROC6",2095,249.2392,319.1474,1183.184
"MIROC6",2096,18.1149,630.0595,1186.4256
"MIROC6",2097,386.0414,292.246,1183.184
"MIROC6",2098,138.7816,438.7908,1183.184
"MIROC6",2099,376.3523,451.2885,1183.184
"MIROC6",2100,132.8728,693.4758,1183.184
"MRI-ESM2-0",2020,159.9846,90.4017,302.3874
"MRI-ESM2-0",2021,16.0374,237.0748,399.7886
"MRI-ESM2-0",2022,93.42,289.7987,281.1679
"MRI-ESM2-0",2023,91.5042,350.546,335.0934
"MRI-ESM2-0",2024,30.607,288.9603,444.6582
"MRI-ESM2-0",2025,68.1672,462.1981,515.3499
"MRI-ESM2-0",2026,44.5562,158.5745,223.6233
"MRI-ESM2-0",2027,190.749,388.6746,338.6146
"MRI-ESM2-0",2028,348.5829,137.953,228.3809
"MRI-ESM2-0",2029,511.2502,123.3071,342.209
"MRI-ESM2-0",2030,198.0292,310.8381,466.7347
"MRI-ESM2-0",2031,165.3153,640.6845,609.0026
"MRI-ESM2-0",2032,155.8582,262.035,293.1414
"MRI-ESM2-0",2033,547.4784,149.7204,393.0621
"MRI-ESM2-0",2034,249.7336,236.8994,442.6573
"MRI-ESM2-0",2035,155.4734,393.3898,314.6197
"MRI-ESM2-0",2036,559.3405,290.5652,524.53
"MRI-ESM2-0",2037,657.4745,269.9212,535.1265
"MRI-ESM2-0",2038,562.0056,299.3383,317.0322
"MRI-ESM2-0",2039,456.7863,248.3749,628.7855
"MRI-ESM2-0",2040,151.2119,527.9648,630.5082
"MRI-ESM2-0",2041,580.358,361.9242,628.7855
"MRI-ESM2-0",2042,662.986,357.6356,586.4989
"MRI-ESM2-0",2043,488.0073,379.8116,368.0765
"MRI-ESM2-0",2044,518.9598,595.8624,621.6414
"MRI-ESM2-0",2045,213.1235,407.0704,504.8503
"MRI-ESM2-0",2046,268.0809,401.8999,466.8267
"MRI-ESM2-0",2047,250.9278,393.5845,159.8522
"MRI-ESM2-0",2048,356.8752,443.5925,478.4944
"MRI-ESM2-0",2049,399.6672,640.1735,497.462
"MRI-ESM2-0",2050,569.115,634.9118,276.2449
"MRI-ESM2-0",2051,441.8196,450.3979,522.8537
"MRI-ESM2-0",2052,200.3348,626.6841,565.9104
"MRI-ESM2-0",2053,70.8221,437.8158,354.9624
"MRI-ESM2-0",2054,401.3965,335.559,376.1038
"MRI-ESM2-0",2055,625.5735,424.6482,622.5331
"MRI-ESM2-0",2056,523.947,630.801,758.169
"MRI-ESM2-0",2057,187.3399,526.8574,756.0975
"MRI-ESM2-0",2058,157.3233,446.4561,756.0975
"MRI-ESM2-0",2059,426.8114,265.2196,756.0975
"MRI-ESM2-0",2060,551.4846,292.5749,758.169
"MRI-ESM2-0",2061,275.0276,649.7374,626.3686
"MRI-ESM2-0",2062,429.12,678.3065,631.5595
"MRI-ESM2-0",2063,309.644,676.637,594.6186
"MRI-ESM2-0",2064,634.9368,678.4908,722.8866
"MRI-ESM2-0",2065,614.0582,522.4847,720.9115
"MRI-ESM2-0",2066,349.2501,398.9102,720.9115
"MRI-ESM2-0",2067,436.2095,509.1497,760.7649
"MRI-ESM2-0",2068,481.8042,458.6951,877.5582
"MRI-ESM2-0",2069,519.2848,627.4964,875.1605
"MRI-ESM2-0",2070,316.2313,586.7001,875.1605
"MRI-ESM2-0",2071,501.4534,480.2224,875.1605
"MRI-ESM2-0",2072,278.8258,510.111,877.5582
"MRI-ESM2-0",2073,557.6962,271.9775,875.1605
"MRI-ESM2-0",2074,289.3682,142.9348,875.1605
"MRI-ESM2-0",2075,137.4006,482.6322,875.1605
"MRI-ESM2-0",2076,191.8977,481.3282,877.5582
"MRI-ESM2-0",2077,315.4348,395.4271,875.1605
"MRI-ESM2-0",2078,274.7993,360.1139,875.1605
"MRI-ESM2-0",2079,204.9849,403.2677,875.1605
"MRI-ESM2-0",2080,256.0117,407.3436,877.5582
"MRI-ESM2-0",2081,85.0929,545.2925,875.1605
"MRI-ESM2-0",2082,246.3506,732.9096,875.1605
"MRI-ESM2-0",2083,607.959,826.433,875.1605
"MRI-ESM2-0",2084,476.6155,828.6972,877.5582
"MRI-ESM2-0",2085,428.1509,767.6362,875.1605
"MRI-ESM2-0",2086,136.391,630.0476,875.1605
"MRI-ESM2-0",2087,120.2067,597.126,875.1605
"MRI-ESM2-0",2088,130.2487,402.7386,901.3658
"MRI-ESM2-0",2089,286.2281,697.6975,1092.8465
"MRI-ESM2-0",2090,376.8561,697.6975,1092.8465
"MRI-ESM2-0",2091,209.041,258.1142,1092.8465
"MRI-ESM2-0",2092,324.4578,534.4846,1095.8406
"MRI-ESM2-0",2093,37.1689,302.6297,1092.8465
"MRI-ESM2-0",2094,124.9884,624.9664,1092.8465
"MRI-ESM2-0",2095,378.6276,410.2941,1092.8465
"MRI-ESM2-0",2096,328.9699,720.0684,1095.8406
"MRI-ESM2-0",2097,113.9118,653.4635,1092.8465
"MRI-ESM2-0",2098,71.5455,257.9382,1092.8465
"MRI-ESM2-0",2099,166.1249,392.166,1092.8465
"MRI-ESM2-0",2100,13.1686,484.076,1092.8465
"NorESM2-LM",2020,73.7604,0,15.1788
"NorESM2-LM",2021,28.6574,114.047,91.999
"NorESM2-LM",2022,457.7838,114.2042,533.7948
"NorESM2-LM",2023,95.2914,282.7929,157.06
"NorESM2-LM",2024,119.4466,139.3656,21.0606
"NorESM2-LM",2025,43.0748,47.9867,186.1165
"NorESM2-LM",2026,351.82,146.7522,346.6332
"NorESM2-LM",2027,431.6562,111.6814,486.621
"NorESM2-LM",2028,514.2786,270.6078,318.9639
"NorESM2-LM",2029,120.5474,288.7303,4.6375
"NorESM2-LM",2030,230.4082,82.5254,99.2986
"NorESM2-LM",2031,261.0493,184.6999,141.238
"NorESM2-LM",2032,220.1575,14.8752,68.0302
"NorESM2-LM",2033,318.0274,120.447,155.5879
"NorESM2-LM",2034,423.569,186.3083,64.6362
"NorESM2-LM",2035,589.834,160.9657,246.6871
"NorESM2-LM",2036,512.6972,157.0635,446.5267
"NorESM2-LM",2037,298.3091,411.7921,289.3187
"NorESM2-LM",2038,159.3295,363.5192,154.7405
"NorESM2-LM",2039,393.2916,234.1136,201.4342
"NorESM2-LM",2040,218.4537,45.9048,535.9981
"NorESM2-LM",2041,564.2788,543.977,526.5423
"NorESM2-LM",2042,842.8945,537.1739,348.1056
"NorESM2-LM",2043,121.0193,753.1724,214.4723
"NorESM2-LM",2044,260.2087,270.86,840.885
"NorESM2-LM",2045,278.1388,75.2821,630.2974
"NorESM2-LM",2046,523.0304,600.3054,428.0454
"NorESM2-LM",2047,523.0591,516.2423,674.1869
"NorESM2-LM",2048,276.1556,466.734,383.0771
"NorESM2-LM",2049,448.3386,379.2694,152.1921
"NorESM2-LM",2050,280.6603,381.4238,153.9236
"NorESM2-LM",2051,399.8675,534.9388,169.6183
"NorESM2-LM",2052,581.7476,312.9554,563.137
"NorESM2-LM",2053,322.803,341.0174,661.3375
"NorESM2-LM",2054,256.9217,413.5842,413.1876
"NorESM2-LM",2055,734.453,413.8134,848.406
"NorESM2-LM",2056,779.7676,296.4888,525.6439
"NorESM2-LM",2057,645.3453,105.3425,647.758
"NorESM2-LM",2058,462.777,407.791,479.7862
"NorESM2-LM",2059,445.7005,331.4614,707.5187
"NorESM2-LM",2060,287.3221,194.5722,529.9221
"NorESM2-LM",2061,428.9911,428.8939,759.6124
"NorESM2-LM",2062,577.482,278.649,917.7181
"NorESM2-LM",2063,343.5437,238.7036,1167.9635
"NorESM2-LM",2064,142.4134,221.27,1026.7095
"NorESM2-LM",2065,116.1059,466.1856,1005.9035
"NorESM2-LM",2066,185.6359,570.7089,1005.9035
"NorESM2-LM",2067,531.6681,769.2078,806.2071
"NorESM2-LM",2068,382.0733,482.6043,651.702
"NorESM2-LM",2069,330.7148,461.22,950.2045
"NorESM2-LM",2070,144.6871,662.8579,973.6571
"NorESM2-LM",2071,66.2926,984.4754,1105.9135
"NorESM2-LM",2072,503.517,558.6516,1009.0291
"NorESM2-LM",2073,758.9863,501.0209,766.5077
"NorESM2-LM",2074,700.9936,380.6381,721.161
"NorESM2-LM",2075,199.5506,249.0683,866.364
"NorESM2-LM",2076,591.3039,186.6314,840.1992
"NorESM2-LM",2077,199.7822,488.8579,328.2192
"NorESM2-LM",2078,477.5176,229.5467,547.2324
"NorESM2-LM",2079,502.1629,597.849,1063.0625
"NorESM2-LM",2080,344.2448,869.8722,1079.9464
"NorESM2-LM",2081,355.136,594.1423,1217.129
"NorESM2-LM",2082,287.7107,465.6806,1217.129
"NorESM2-LM",2083,334.8517,572.7265,1217.129
"NorESM2-LM",2084,67.7845,616.9702,1220.4636
"NorESM2-LM",2085,584.0202,575.0427,1217.129
"NorESM2-LM",2086,233.394,615.5134,1217.129
"NorESM2-LM",2087,261.5851,239.0345,994.0574
"NorESM2-LM",2088,452.8314,113.1935,896.3681
"NorESM2-LM",2089,317.3239,363.2918,1253.775
"NorESM2-LM",2090,381.042,486.1868,1253.775
"NorESM2-LM",2091,547.7385,737.1366,1253.775
"NorESM2-LM",2092,571.2425,287.4536,1257.21
"NorESM2-LM",2093,711.2712,838.551,1253.775
"NorESM2-LM",2094,414.8242,794.7255,1253.775
"NorESM2-LM",2095,49.0374,476.3193,1253.775
"NorESM2-LM",2096,459.7632,792.521,1257.21
"NorESM2-LM",2097,357.8811,640.7593,1253.775
"NorESM2-LM",2098,398.5721,813.2105,1253.775
"NorESM2-LM",2099,582.298,1093.2845,1253.775
"NorESM2-LM",2100,109.6343,794.0132,1253.775
"NorESM2-MM",2020,273.9231,259.2776,302.5786
"NorESM2-MM",2021,315.429,280.4468,213.6777
"NorESM2-MM",2022,165.9279,89.22,399.6568
"NorESM2-MM",2023,367.3333,170.1345,495.6022
"NorESM2-MM",2024,484.1972,111.1882,587.0764
"NorESM2-MM",2025,838.7243,106.8931,206.8505
"NorESM2-MM",2026,727.5066,125.5207,209.6921
"NorESM2-MM",2027,439.5549,114.4858,197.0125
"NorESM2-MM",2028,269.058,191.2558,160.0488
"NorESM2-MM",2029,78.3851,263.7273,546.6957
"NorESM2-MM",2030,494.7739,234.9599,607.7124
"NorESM2-MM",2031,732.2777,698.4524,161.0423
"NorESM2-MM",2032,172.3017,660.2418,280.0569
"NorESM2-MM",2033,295.6373,695.7713,382.1108
"NorESM2-MM",2034,138.9097,401.4883,431.9139
"NorESM2-MM",2035,114.3348,187.3702,393.4041
"NorESM2-MM",2036,42.0634,396.4293,649.7299
"NorESM2-MM",2037,430.0472,609.5817,252.0071
"NorESM2-MM",2038,186.536,282.0399,407.8562
"NorESM2-MM",2039,58.0242,174.8567,515.5822
"NorESM2-MM",2040,313.4576,441.9553,509.015
"NorESM2-MM",2041,113.9144,808.1733,411.2435
"NorESM2-MM",2042,238.1382,254.193,581.4985
"NorESM2-MM",2043,587.6208,114.6841,405.2935
"NorESM2-MM",2044,433.4346,275.4607,484.0635
"NorESM2-MM",2045,184.868,504.5287,775.4769
"NorESM2-MM",2046,358.7011,546.5756,959.0375
"NorESM2-MM",2047,402.0643,734.7191,792.9097
"NorESM2-MM",2048,693.0053,796.2761,739.4182
"NorESM2-MM",2049,704.8653,361.5081,882.613
"NorESM2-MM",2050,450.7443,449.7474,1021.27
"NorESM2-MM",2051,689.4788,831.1266,1002.0228
"NorESM2-MM",2052,601.5714,872.4708,713.3837
"NorESM2-MM",2053,109.2343,587.3787,180.6791
"NorESM2-MM",2054,387.4729,710.8869,230.0066
"NorESM2-MM",2055,134.2118,681.7076,621.6792
"NorESM2-MM",2056,353.9943,519.3889,17.3943
"NorESM2-MM",2057,470.845,485.8041,469.222
"NorESM2-MM",2058,217.0803,353.3919,1020.102
"NorESM2-MM",2059,269.9892,708.3241,1020.102
"NorESM2-MM",2060,601.8928,649.5816,1040.5372
"NorESM2-MM",2061,829.974,583.1731,758.1678
"NorESM2-MM",2062,324.801,396.4794,1012.145
"NorESM2-MM",2063,565.9923,280.0436,1012.145
"NorESM2-MM",2064,477.2812,375.0541,821.0378
"NorESM2-MM",2065,380.2172,420.4986,988.493
"NorESM2-MM",2066,360.599,66.7419,770.3698
"NorESM2-MM",2067,644.3762,152.8401,955.935
"NorESM2-MM",2068,601.6792,718.292,958.554
"NorESM2-MM",2069,789.6409,625.4662,955.935
"NorESM2-MM",2070,713.7459,642.1546,802.497
"NorESM2-MM",2071,595.5456,879.723,863.1591
"NorESM2-MM",2072,489.3011,646.7097,741.6923
"NorESM2-MM",2073,527.9233,871.1568,861.0251
"NorESM2-MM",2074,458.6575,816.4757,1097.8105
"NorESM2-MM",2075,494.2613,483.6405,1097.8105
"NorESM2-MM",2076,514.7364,636.7787,1100.8182
"NorESM2-MM",2077,257.9687,681.4231,1021.6469
"NorESM2-MM",2078,767.3056,657.6521,953.7024
"NorESM2-MM",2079,717.543,866.9148,1088.576
"NorESM2-MM",2080,636.3816,615.0758,1091.5584
"NorESM2-MM",2081,644.2344,663.7478,847.8269
"NorESM2-MM",2082,517.8516,365.2721,1169.1788
"NorESM2-MM",2083,302.3178,993.8585,1209.902
"NorESM2-MM",2084,299.0891,925.7948,1213.2168
"NorESM2-MM",2085,511.9687,996.085,1209.902
"NorESM2-MM",2086,135.1534,840.083,1209.902
"NorESM2-MM",2087,221.9881,783.0592,1209.902
"NorESM2-MM",2088,428.8676,1032.669,1213.2168
"NorESM2-MM",2089,124.1775,871.7319,1209.902
"NorESM2-MM",2090,162.5858,577.8767,1099.4569
"NorESM2-MM",2091,410.3814,452.2784,1216.9465
"NorESM2-MM",2092,542.1257,613.3526,1220.2806
"NorESM2-MM",2093,672.1368,854.4684,1216.9465
"NorESM2-MM",2094,565.0411,941.1208,1216.9465
"NorESM2-MM",2095,807.891,1029.519,1216.9465
"NorESM2-MM",2096,810.1044,821.8591,1220.2806
"NorESM2-MM",2097,764.5634,910.9116,1231.8534
"NorESM2-MM",2098,174.1296,956.446,1325.68
"NorESM2-MM",2099,500.3981,779.3872,1325.68
"NorESM2-MM",2100,337.2331,549.066,1325.68
"BCC-CSM2-MR",2027,0,80.8936,427.9451
"BCC-CSM2-MR",2080,0,90.5077,1214.571
"CanESM5",2036,0,126.5954,412.8409
"MIROC6",2027,0,862.3986,207.3349
"MIROC6",2033,0,516.6672,66.1668
"MIROC6",2052,0,181.816,335.8635
